name,time
Company of Heroes (New Steam Version),19.495238095238097
Company of Heroes 2,22.471264367816094
Company of Heroes Opposing Fronts,16.656000000000002
Company of Heroes Tales of Valor,13.112121212121211
Construction-Simulator 2015,25.700000000000003
Contagion,4.077551020408164
"Cook, Serve, Delicious!",10.090909090909092
Copa Petrobras de Marcas,0.40625
Costume Quest,4.082352941176471
Counter-Strike,80.94836852207294
Counter-Strike Condition Zero,31.125
Counter-Strike Condition Zero Deleted Scenes,4.448936170212765
Counter-Strike Global Offensive,163.5526073619632
Counter-Strike Nexon Zombies,10.946195652173913
Counter-Strike Source,79.8249279538905
Craft The World,52.61333333333333
Crash Time II,1.542857142857143
Crayon Physics Deluxe,0.4652173913043478
Creativerse,8.2
Crusader Kings II,105.12933333333334
Cry of Fear,1.875
Crypt of the NecroDancer,22.09375
Crysis,6.910909090909091
Crysis 2 Maximum Edition,6.886516853932584
Crysis Warhead,8.278260869565218
Crysis Wars,1.7866666666666664
Cthulhu Saves the World ,2.7875
Cubic Castles,3.6965517241379313
D.I.P.R.I.P. Warm Up,3.6285714285714286
DARK SOULS II,87.23661971830987
DARK SOULS II Scholar of the First Sin,51.25151515151515
DC Universe Online,21.886928104575162
DCS World,2.3875
DEFCON,1.7272727272727273
DLC Quest,2.8166666666666664
DOOM 3,3.535
DOOM 3 BFG Edition,16.895652173913046
DRAGON BALL XENOVERSE,39.196875
Damned,2.49
Dark Messiah of Might & Magic Multi-Player,52.77272727272727
Dark Messiah of Might & Magic Single Player,7.78421052631579
Dark Souls Prepare to Die Edition,43.07727272727273
Darkest Dungeon,21.11621621621622
Darkest Hour Europe '44-'45,22.8
Darksiders,13.131868131868131
Darksiders II,19.146268656716416
Darwinia,2.5833333333333335
Day of Defeat,14.377659574468085
Day of Defeat Source,20.48060606060606
DayZ,62.90661157024793
Dead Bits,2.0736842105263156
Dead Island,13.912087912087912
Dead Island Epidemic,5.84251968503937
Dead Island Riptide,11.952830188679245
Dead Rising 2,6.080952380952381
Dead Rising 3,12.299999999999999
Dead Space,5.036923076923077
Dead Space 2,10.033333333333333
Deadbreed,2.8000000000000003
Deadlight,2.857894736842105
Deadpool,10.076923076923077
Dear Esther,1.035483870967742
Deathmatch Classic,0.740625
Defense Grid 2,9.246153846153847
Defense Grid The Awakening,18.434146341463414
Defiance,15.41505376344086
Defy Gravity,1.376923076923077
Demigod,13.090909090909092
Democracy 3,5.460714285714286
Deponia,6.588461538461539
Depth,9.203703703703704
Deus Ex Game of the Year Edition,5.08918918918919
Deus Ex Human Revolution,25.995652173913044
Deus Ex Human Revolution - Director's Cut,14.39074074074074
Deus Ex Human Revolution - The Missing Link,8.886363636363637
Deus Ex Invisible War,1.85
Devil May Cry 4,6.372222222222223
Devilian,7.816666666666666
DiRT 2,10.755999999999998
DiRT 3,14.120408163265306
DiRT 3 Complete Edition,5.1947368421052635
DiRT Rally,10.538888888888888
DiRT Showdown,5.4173913043478255
DiggerOnline,2.48235294117647
Dino D-Day,2.5640625
Dirty Bomb,7.1297435897435895
Dishonored,19.601379310344825
Dishonored (RU),17.844444444444445
Divine Souls,2.3
Divinity Dragon Commander,8.025
Divinity II Developer's Cut,11.408333333333333
Divinity Original Sin,35.52388059701492
Divinity Original Sin Enhanced Edition,8.857142857142858
Dizzel,2.1033333333333335
DmC Devil May Cry,11.934883720930234
Don't Starve,22.814649681528664
Don't Starve Together Beta,13.546000000000001
Door Kickers,4.8769230769230765
Dota 2,73.20730411686587
Double Action Boogaloo,4.828888888888889
Dragomon Hunter,1.5818181818181818
Dragon Age Origins,60.86451612903225
Dragon Age Origins - Ultimate Edition,24.060344827586206
Dragon Nest,31.807692307692307
